id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156
213996_at	YPEL1	4.9287	5.5893	4.9245	5.3070	4.9812	4.9284	5.3532	5.1529
217783_s_at	YPEL5	7.7464	7.4510	8.2440	8.1672	7.9491	7.8550	7.3834	8.5815
218647_s_at	YRDC	8.6693	8.8319	8.4713	8.2429	8.8017	8.3301	8.4775	7.9974
221180_at	YSK4	5.4371	5.1038	5.4422	5.4957	5.7140	5.8159	5.2507	5.6356
212455_at	YTHDC1	9.0532	9.0056	9.0815	8.7441	8.8417	9.1471	9.1850	8.9789
214814_at	YTHDC1	6.2380	6.7416	5.8707	5.8050	5.7959	6.0538	5.9658	6.2029
205835_s_at	YTHDC2	6.2303	6.5293	6.2301	6.0199	6.1317	6.3695	6.2087	6.7209
205836_s_at	YTHDC2	7.2854	7.7566	7.5897	7.7547	7.5929	8.0336	7.5455	7.3997
213077_at	YTHDC2	7.7642	7.8010	8.2061	7.9737	8.4848	8.7861	7.8612	7.9735
217812_at	YTHDF2	8.8835	9.0791	8.9622	9.0840	8.6975	9.5691	9.5775	8.3998
221749_at	YTHDF3	7.5405	7.9722	8.1135	7.9155	7.9592	7.6460	7.9298	7.7061
208743_s_at	YWHAB	11.8461	11.9472	12.5227	12.6168	12.2749	10.8718	12.0963	12.1538
217717_s_at	YWHAB	10.5386	9.9685	11.1287	11.3661	12.2397	10.4270	10.6740	9.7512
217718_s_at	YWHAB	12.7603	12.3767	12.7751	12.3770	12.8927	10.6771	12.4397	11.9822
210317_s_at	YWHAE	12.6748	11.3537	12.0644	11.5343	11.6392	12.0462	12.3503	11.4348
210996_s_at	YWHAE	12.8535	12.5649	12.5550	12.8177	12.9254	13.2020	13.3159	12.9578
213655_at	YWHAE	12.3649	14.0248	13.5173	13.5016	12.9017	13.0292	12.6658	13.1389
201020_at	YWHAH	12.0686	9.7491	12.1581	11.9830	10.9681	11.3838	11.3483	10.8824
200693_at	YWHAQ	13.2007	13.2572	13.4628	13.2312	13.1831	12.5885	12.2894	13.2975
212426_s_at	YWHAQ	13.1611	13.3289	13.7560	13.4753	13.0599	12.8538	12.9188	13.0163
213699_s_at	YWHAQ	12.7570	13.3232	13.3191	13.0184	13.1706	12.5738	12.3984	13.0381
200638_s_at	YWHAZ	10.8494	11.7087	11.3486	12.2084	11.5446	10.9017	11.1620	11.1546
200639_s_at	YWHAZ	10.4721	10.5586	10.5925	11.0487	10.8150	10.0162	10.4107	10.9118
